ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4013.JPG,-1.27,149.17,0.719,0.143,2019-03-05 13:42:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4007.JPG,-1.52,149.52,0.669,0.175,2019-03-05 13:39:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3998.JPG,-1.11,141.47,0.754,0.123,2019-03-05 13:35:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3999.JPG,-0.82,150.63,0.821,0.086,2019-03-05 13:35:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4006.JPG,-1.56,137.82,0.66,0.181,2019-03-05 13:38:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4012.JPG,-1.22,148.19,0.729,0.137,2019-03-05 13:41:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4004.JPG,-1.3,149.91,0.714,0.146,2019-03-05 13:37:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4010.JPG,-1.79,132.96,0.618,0.209,2019-03-05 13:40:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4011.JPG,-1.89,147.33,0.599,0.223,2019-03-05 13:41:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4005.JPG,-1.2,146.75,0.735,0.134,2019-03-05 13:38:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4001.JPG,-1.03,147.39,0.771,0.113,2019-03-05 13:36:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4015.JPG,-1.45,141.44,0.683,0.166,2019-03-05 13:43:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4014.JPG,-1.66,149.26,0.641,0.193,2019-03-05 13:42:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4028.JPG,-1.6,146.81,0.653,0.185,2019-03-05 13:49:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4016.JPG,-1.47,149.07,0.678,0.168,2019-03-05 13:43:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4002.JPG,-1.4,147.95,0.693,0.159,2019-03-05 13:36:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4003.JPG,-1.33,149.54,0.707,0.15,2019-03-05 13:37:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4017.JPG,-3.32,132.81,0.394,0.405,2019-03-05 13:44:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4026.JPG,-1.55,147.38,0.662,0.179,2019-03-05 13:48:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4027.JPG,-1.25,145.71,0.724,0.14,2019-03-05 13:49:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4025.JPG,-1.61,135.16,0.651,0.186,2019-03-05 13:48:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4019.JPG,-1.33,144.36,0.707,0.151,2019-03-05 13:45:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4018.JPG,-1.55,146.82,0.662,0.179,2019-03-05 13:44:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4024.JPG,-1.47,140.66,0.678,0.169,2019-03-05 13:47:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4008.JPG,-1.35,148.1,0.703,0.153,2019-03-05 13:39:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4020.JPG,-1.29,147.79,0.715,0.145,2019-03-05 13:45:53,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4021.JPG,-1.53,147.99,0.666,0.176,2019-03-05 13:46:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4009.JPG,-1.14,147.82,0.747,0.126,2019-03-05 13:40:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4023.JPG,-1.29,148.01,0.714,0.146,2019-03-05 13:47:23,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4022.JPG,-1.23,146.11,0.728,0.138,2019-03-05 13:46:53,(1 - 4),(9 - 5),(57761 - 28880)
