ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4272.JPG,-4.33,148.75,0.293,0.534,2019-03-06 16:48:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4266.JPG,-5.76,137.46,0.192,0.717,2019-03-06 16:45:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4267.JPG,-4.21,149.39,0.303,0.519,2019-03-06 16:45:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4273.JPG,-4.19,149.35,0.305,0.516,2019-03-06 16:48:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4265.JPG,-4.23,150.28,0.301,0.521,2019-03-06 16:44:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4271.JPG,-4.0,140.72,0.322,0.492,2019-03-06 16:47:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4259.JPG,-4.05,144.59,0.318,0.498,2019-03-06 16:41:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4258.JPG,-4.04,150.62,0.318,0.497,2019-03-06 16:41:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4270.JPG,-4.15,137.66,0.308,0.511,2019-03-06 16:47:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4264.JPG,-4.12,139.58,0.311,0.507,2019-03-06 16:44:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4248.JPG,-3.66,140.88,0.356,0.449,2019-03-06 16:36:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4260.JPG,-4.4,150.37,0.287,0.543,2019-03-06 16:42:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4261.JPG,-4.94,144.39,0.244,0.612,2019-03-06 16:42:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4249.JPG,-3.81,151.31,0.341,0.467,2019-03-06 16:36:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4263.JPG,-4.12,151.28,0.311,0.507,2019-03-06 16:43:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4262.JPG,-4.21,151.89,0.303,0.518,2019-03-06 16:43:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4253.JPG,-4.02,151.95,0.321,0.494,2019-03-06 16:38:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4247.JPG,-3.35,151.63,0.39,0.409,2019-03-06 16:35:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4246.JPG,-3.06,153.28,0.425,0.372,2019-03-06 16:35:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4252.JPG,-3.92,141.9,0.33,0.482,2019-03-06 16:38:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4244.JPG,-2.38,152.21,0.518,0.285,2019-03-06 16:34:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4250.JPG,-3.9,151.84,0.332,0.479,2019-03-06 16:37:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4251.JPG,-4.18,151.7,0.306,0.515,2019-03-06 16:37:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4245.JPG,-2.71,149.9,0.471,0.327,2019-03-06 16:34:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4269.JPG,-3.86,148.84,0.336,0.474,2019-03-06 16:46:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4255.JPG,-3.92,145.33,0.33,0.481,2019-03-06 16:39:41,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4254.JPG,-4.06,140.03,0.316,0.5,2019-03-06 16:39:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4268.JPG,-4.4,134.82,0.287,0.543,2019-03-06 16:46:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4256.JPG,-4.29,151.63,0.296,0.529,2019-03-06 16:40:11,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4257.JPG,-4.14,150.69,0.309,0.51,2019-03-06 16:40:41,(1 - 4),(9 - 5),(57761 - 28880)
