ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4104.JPG,-5.34,136.19,0.217,0.663,2019-03-05 14:40:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4110.JPG,-5.4,135.2,0.214,0.67,2019-03-05 14:43:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4111.JPG,-5.2,145.78,0.227,0.645,2019-03-05 14:44:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4105.JPG,-5.18,142.52,0.228,0.642,2019-03-05 14:41:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4098.JPG,-5.07,140.52,0.235,0.629,2019-03-05 14:37:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4113.JPG,-5.25,145.71,0.223,0.651,2019-03-05 14:45:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4107.JPG,-5.36,151.05,0.216,0.665,2019-03-05 14:42:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4106.JPG,-5.25,134.1,0.223,0.652,2019-03-05 14:41:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4112.JPG,-5.21,145.37,0.226,0.646,2019-03-05 14:44:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4099.JPG,-5.18,138.16,0.228,0.643,2019-03-05 14:38:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4089.JPG,-3.01,139.49,0.431,0.366,2019-03-05 14:33:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4116.JPG,-5.44,139.32,0.211,0.676,2019-03-05 14:46:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4102.JPG,-5.49,152.05,0.208,0.683,2019-03-05 14:39:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4103.JPG,-5.17,141.63,0.228,0.642,2019-03-05 14:40:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4117.JPG,-5.35,135.28,0.217,0.664,2019-03-05 14:47:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4101.JPG,-5.37,131.75,0.216,0.666,2019-03-05 14:39:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4115.JPG,-5.08,145.96,0.234,0.63,2019-03-05 14:46:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4114.JPG,-5.36,138.77,0.216,0.666,2019-03-05 14:45:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4100.JPG,-5.25,152.75,0.223,0.652,2019-03-05 14:38:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4092.JPG,-4.16,143.94,0.308,0.512,2019-03-05 14:34:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4118.JPG,-5.41,134.9,0.213,0.672,2019-03-05 14:47:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4093.JPG,-4.38,152.82,0.288,0.541,2019-03-05 14:35:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4091.JPG,-3.8,153.74,0.342,0.466,2019-03-05 14:34:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4090.JPG,-3.42,142.53,0.382,0.418,2019-03-05 14:33:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4094.JPG,-4.56,144.42,0.273,0.563,2019-03-05 14:35:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4095.JPG,-4.89,138.8,0.248,0.606,2019-03-05 14:36:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4097.JPG,-4.95,142.48,0.244,0.613,2019-03-05 14:37:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4108.JPG,-5.21,137.6,0.226,0.646,2019-03-05 14:42:51,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4109.JPG,-5.37,151.17,0.215,0.667,2019-03-05 14:43:21,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4096.JPG,-4.84,141.64,0.252,0.599,2019-03-05 14:36:51,(1 - 4),(9 - 5),(57761 - 28880)
