ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4460.JPG,-9.96,135.46,0.056,1.253,2019-03-12 13:57:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4474.JPG,-11.57,133.16,0.035,1.459,2019-03-12 14:04:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4475.JPG,-11.65,139.0,0.034,1.47,2019-03-12 14:05:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4461.JPG,-10.2,136.71,0.052,1.284,2019-03-12 13:58:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4477.JPG,-11.45,136.49,0.036,1.443,2019-03-12 14:06:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4463.JPG,-10.97,142.83,0.041,1.382,2019-03-12 13:59:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4462.JPG,-10.92,139.67,0.042,1.375,2019-03-12 13:58:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4476.JPG,-13.14,146.82,0.022,1.66,2019-03-12 14:05:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4472.JPG,-11.59,137.05,0.035,1.461,2019-03-12 14:03:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4466.JPG,-13.19,147.89,0.022,1.667,2019-03-12 14:00:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4467.JPG,-12.55,148.05,0.026,1.584,2019-03-12 14:01:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4473.JPG,-11.63,141.35,0.034,1.467,2019-03-12 14:04:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4459.JPG,-9.35,141.49,0.067,1.175,2019-03-12 13:57:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4465.JPG,-11.58,134.82,0.035,1.46,2019-03-12 14:00:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4471.JPG,-11.48,132.95,0.036,1.447,2019-03-12 14:03:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4470.JPG,-12.88,147.41,0.024,1.627,2019-03-12 14:02:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4464.JPG,-10.97,137.17,0.041,1.383,2019-03-12 13:59:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4458.JPG,-8.22,142.28,0.093,1.031,2019-03-12 13:56:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4482.JPG,-11.59,136.25,0.035,1.462,2019-03-12 14:08:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4469.JPG,-11.5,138.45,0.035,1.45,2019-03-12 14:02:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4468.JPG,-11.51,137.58,0.035,1.451,2019-03-12 14:01:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4483.JPG,-11.71,136.13,0.033,1.477,2019-03-12 14:09:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4481.JPG,-11.74,140.84,0.033,1.481,2019-03-12 14:08:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4457.JPG,-7.06,148.28,0.131,0.883,2019-03-12 13:56:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4480.JPG,-11.55,136.49,0.035,1.456,2019-03-12 14:07:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4484.JPG,-11.72,138.88,0.033,1.478,2019-03-12 14:09:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4485.JPG,-13.09,145.88,0.022,1.653,2019-03-12 14:10:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4478.JPG,-13.13,146.98,0.022,1.658,2019-03-12 14:06:40,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4479.JPG,-12.72,145.65,0.025,1.606,2019-03-12 14:07:10,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4486.JPG,-11.59,132.55,0.035,1.462,2019-03-12 14:10:40,(1 - 4),(9 - 5),(57761 - 28880)
