ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_3967.JPG,-0.68,162.18,0.856,0.068,2019-03-05 13:16:55,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3973.JPG,-1.02,161.03,0.773,0.112,2019-03-05 13:19:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3972.JPG,-1.06,161.91,0.765,0.116,2019-03-05 13:18:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3970.JPG,-1.13,153.74,0.75,0.125,2019-03-05 13:17:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3971.JPG,-1.0,161.84,0.778,0.109,2019-03-05 13:18:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3975.JPG,-1.15,160.98,0.744,0.128,2019-03-05 13:20:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3974.JPG,-1.0,160.86,0.779,0.108,2019-03-05 13:19:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3976.JPG,-1.11,159.55,0.754,0.123,2019-03-05 13:20:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3989.JPG,-1.13,158.63,0.75,0.125,2019-03-05 13:27:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3988.JPG,-1.17,158.16,0.74,0.131,2019-03-05 13:26:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3977.JPG,-1.11,159.82,0.753,0.123,2019-03-05 13:21:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3985.JPG,-1.08,157.19,0.76,0.119,2019-03-05 13:25:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3991.JPG,-1.19,154.42,0.737,0.133,2019-03-05 13:28:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3990.JPG,-1.36,152.72,0.701,0.154,2019-03-05 13:27:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3984.JPG,-1.19,159.69,0.735,0.133,2019-03-05 13:24:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3979.JPG,-1.57,145.38,0.659,0.181,2019-03-05 13:22:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3992.JPG,-1.26,157.98,0.722,0.142,2019-03-05 13:28:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3986.JPG,-1.38,150.58,0.697,0.157,2019-03-05 13:25:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3987.JPG,-1.41,157.89,0.691,0.16,2019-03-05 13:26:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3993.JPG,-1.65,143.93,0.643,0.192,2019-03-05 13:29:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3978.JPG,-1.18,160.02,0.739,0.132,2019-03-05 13:21:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3968.JPG,-0.92,156.77,0.797,0.099,2019-03-05 13:17:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3997.JPG,-1.47,149.69,0.679,0.168,2019-03-05 13:31:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3983.JPG,-1.22,159.27,0.73,0.137,2019-03-05 13:24:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3982.JPG,-1.51,150.06,0.671,0.173,2019-03-05 13:23:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3996.JPG,-1.46,146.93,0.681,0.167,2019-03-05 13:30:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3969.JPG,-0.84,161.93,0.816,0.089,2019-03-05 13:17:25,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3980.JPG,-1.1,159.45,0.757,0.121,2019-03-05 13:22:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3994.JPG,-1.22,157.74,0.73,0.137,2019-03-05 13:29:36,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3995.JPG,-1.12,157.43,0.751,0.125,2019-03-05 13:30:06,(1 - 4),(9 - 5),(57761 - 28880)
IMG_3981.JPG,-1.15,158.51,0.744,0.128,2019-03-05 13:23:06,(1 - 4),(9 - 5),(57761 - 28880)
