ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4299.JPG,-9.55,145.89,0.063,1.201,2019-03-06 17:07:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4298.JPG,-9.35,144.03,0.067,1.175,2019-03-06 17:07:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4274.JPG,-5.21,133.8,0.225,0.647,2019-03-06 16:55:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4300.JPG,-9.03,133.15,0.073,1.134,2019-03-06 17:08:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4301.JPG,-8.91,136.44,0.076,1.119,2019-03-06 17:08:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4275.JPG,-6.24,138.21,0.167,0.778,2019-03-06 16:55:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4288.JPG,-9.3,144.19,0.068,1.169,2019-03-06 17:02:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4277.JPG,-7.61,136.15,0.111,0.953,2019-03-06 16:56:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4303.JPG,-9.22,139.61,0.069,1.159,2019-03-06 17:09:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4302.JPG,-9.27,138.14,0.068,1.165,2019-03-06 17:09:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4276.JPG,-7.16,138.09,0.127,0.895,2019-03-06 16:56:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4289.JPG,-9.23,136.16,0.069,1.16,2019-03-06 17:02:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4290.JPG,-9.17,138.82,0.07,1.152,2019-03-06 17:03:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4284.JPG,-8.88,131.81,0.077,1.116,2019-03-06 17:00:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4285.JPG,-9.29,142.65,0.068,1.168,2019-03-06 17:00:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4291.JPG,-9.16,134.27,0.071,1.151,2019-03-06 17:03:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4287.JPG,-9.08,133.46,0.072,1.141,2019-03-06 17:01:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4293.JPG,-9.3,137.3,0.068,1.169,2019-03-06 17:04:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4278.JPG,-8.03,133.27,0.099,1.006,2019-03-06 16:57:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4279.JPG,-8.47,143.38,0.087,1.063,2019-03-06 16:57:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4292.JPG,-9.39,130.22,0.066,1.18,2019-03-06 17:04:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4286.JPG,-9.09,132.79,0.072,1.142,2019-03-06 17:01:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4282.JPG,-8.99,143.03,0.074,1.129,2019-03-06 16:59:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4296.JPG,-9.3,139.35,0.068,1.169,2019-03-06 17:06:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4297.JPG,-9.31,137.64,0.068,1.171,2019-03-06 17:06:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4283.JPG,-8.94,131.94,0.075,1.123,2019-03-06 16:59:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4295.JPG,-9.03,133.33,0.073,1.135,2019-03-06 17:05:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4281.JPG,-8.66,133.43,0.082,1.088,2019-03-06 16:58:30,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4280.JPG,-8.42,134.96,0.088,1.057,2019-03-06 16:58:00,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4294.JPG,-9.34,140.96,0.067,1.174,2019-03-06 17:05:00,(1 - 4),(9 - 5),(57761 - 28880)
