ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4138.JPG,-6.52,144.48,0.154,0.814,2019-03-05 15:00:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4139.JPG,-6.39,145.27,0.16,0.797,2019-03-05 15:01:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4129.JPG,-5.57,142.6,0.203,0.693,2019-03-05 14:56:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4128.JPG,-5.73,145.76,0.194,0.713,2019-03-05 14:55:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4148.JPG,-6.16,144.29,0.171,0.768,2019-03-05 15:05:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4146.JPG,-6.31,143.73,0.163,0.787,2019-03-05 15:04:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4147.JPG,-5.92,144.0,0.183,0.737,2019-03-05 15:05:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4145.JPG,-6.39,144.38,0.159,0.797,2019-03-05 15:04:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4144.JPG,-6.21,135.02,0.168,0.775,2019-03-05 15:03:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4140.JPG,-5.79,141.15,0.19,0.721,2019-03-05 15:01:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4141.JPG,-5.9,143.85,0.184,0.734,2019-03-05 15:02:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4143.JPG,-5.91,140.03,0.184,0.736,2019-03-05 15:03:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4142.JPG,-6.43,143.76,0.158,0.802,2019-03-05 15:02:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4125.JPG,-5.29,136.58,0.22,0.657,2019-03-05 14:54:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4131.JPG,-6.01,144.71,0.178,0.749,2019-03-05 14:57:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4119.JPG,-2.8,146.44,0.459,0.338,2019-03-05 14:51:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4130.JPG,-6.09,144.88,0.174,0.759,2019-03-05 14:56:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4124.JPG,-5.18,145.13,0.228,0.642,2019-03-05 14:53:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4132.JPG,-5.9,140.83,0.184,0.735,2019-03-05 14:57:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4126.JPG,-5.64,145.22,0.199,0.701,2019-03-05 14:54:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4127.JPG,-5.75,145.54,0.193,0.715,2019-03-05 14:55:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4133.JPG,-5.82,141.03,0.189,0.724,2019-03-05 14:58:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4137.JPG,-6.04,135.62,0.177,0.753,2019-03-05 15:00:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4123.JPG,-4.74,142.91,0.259,0.587,2019-03-05 14:53:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4122.JPG,-4.36,142.24,0.29,0.538,2019-03-05 14:52:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4136.JPG,-6.28,128.8,0.165,0.783,2019-03-05 14:59:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4120.JPG,-3.38,145.87,0.387,0.412,2019-03-05 14:51:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4134.JPG,-6.29,145.05,0.164,0.785,2019-03-05 14:58:56,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4135.JPG,-6.04,142.19,0.177,0.753,2019-03-05 14:59:26,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4121.JPG,-4.09,139.21,0.313,0.504,2019-03-05 14:52:26,(1 - 4),(9 - 5),(57761 - 28880)
