ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4058.JPG,-1.25,158.43,0.724,0.14,2019-03-05 14:08:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4049.JPG,-1.21,156.22,0.731,0.136,2019-03-05 14:04:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4048.JPG,-1.32,159.58,0.708,0.15,2019-03-05 14:03:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4038.JPG,-1.09,159.09,0.759,0.12,2019-03-05 13:58:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4039.JPG,-1.51,150.16,0.67,0.174,2019-03-05 13:59:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4029.JPG,-1.49,145.49,0.674,0.172,2019-03-05 13:54:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4032.JPG,-1.43,147.27,0.686,0.164,2019-03-05 13:55:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4033.JPG,-1.74,141.11,0.627,0.203,2019-03-05 13:56:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4031.JPG,-1.04,160.27,0.769,0.114,2019-03-05 13:55:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4030.JPG,-1.22,150.58,0.729,0.137,2019-03-05 13:54:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4034.JPG,-1.33,152.03,0.706,0.151,2019-03-05 13:56:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4035.JPG,-1.3,158.95,0.712,0.147,2019-03-05 13:57:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4037.JPG,-1.2,154.73,0.735,0.134,2019-03-05 13:58:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4036.JPG,-1.17,159.25,0.742,0.13,2019-03-05 13:57:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4051.JPG,-1.19,159.19,0.736,0.133,2019-03-05 14:05:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4045.JPG,-1.46,159.24,0.68,0.167,2019-03-05 14:02:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4044.JPG,-1.09,158.75,0.757,0.121,2019-03-05 14:01:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4050.JPG,-1.09,158.92,0.758,0.12,2019-03-05 14:04:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4046.JPG,-1.86,139.95,0.605,0.218,2019-03-05 14:02:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4052.JPG,-1.53,148.23,0.666,0.176,2019-03-05 14:05:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4053.JPG,-1.09,159.04,0.758,0.12,2019-03-05 14:06:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4047.JPG,-1.09,158.63,0.758,0.12,2019-03-05 14:03:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4043.JPG,-1.53,149.27,0.667,0.176,2019-03-05 14:01:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4057.JPG,-1.17,156.33,0.742,0.13,2019-03-05 14:08:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4056.JPG,-1.49,148.36,0.674,0.171,2019-03-05 14:07:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4042.JPG,-1.1,160.04,0.757,0.121,2019-03-05 14:00:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4054.JPG,-2.95,145.43,0.439,0.358,2019-03-05 14:06:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4040.JPG,-1.59,146.2,0.655,0.183,2019-03-05 13:59:43,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4041.JPG,-1.23,158.96,0.727,0.138,2019-03-05 14:00:13,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4055.JPG,-1.29,153.25,0.716,0.145,2019-03-05 14:07:13,(1 - 4),(9 - 5),(57761 - 28880)
