ImagePath,Nconcentraion,Reference_Intensity,Intensityratio,Absorbance,time, ExposureTime, FNumber, ShutterSpeedValue
IMG_4070.JPG,-0.98,142.24,0.784,0.106,2019-03-05 14:19:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4064.JPG,-1.14,138.34,0.747,0.126,2019-03-05 14:16:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4059.JPG,-1.65,129.89,0.642,0.192,2019-03-05 14:13:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4065.JPG,-0.87,141.09,0.81,0.092,2019-03-05 14:16:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4071.JPG,-0.95,141.82,0.79,0.102,2019-03-05 14:19:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4067.JPG,-0.9,141.11,0.802,0.096,2019-03-05 14:17:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4073.JPG,-1.35,138.37,0.702,0.153,2019-03-05 14:20:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4072.JPG,-1.0,141.73,0.777,0.109,2019-03-05 14:20:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4066.JPG,-0.88,141.68,0.806,0.094,2019-03-05 14:17:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4062.JPG,-0.76,141.59,0.837,0.077,2019-03-05 14:15:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4076.JPG,-1.47,134.39,0.678,0.169,2019-03-05 14:22:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4077.JPG,-1.05,140.65,0.766,0.115,2019-03-05 14:22:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4063.JPG,-0.79,141.44,0.828,0.082,2019-03-05 14:15:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4088.JPG,-1.75,129.9,0.624,0.205,2019-03-05 14:28:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4075.JPG,-0.98,140.89,0.782,0.107,2019-03-05 14:21:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4061.JPG,-0.96,141.19,0.787,0.104,2019-03-05 14:14:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4060.JPG,-1.47,133.24,0.677,0.169,2019-03-05 14:14:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4074.JPG,-1.06,140.52,0.765,0.116,2019-03-05 14:21:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4086.JPG,-1.04,140.32,0.769,0.114,2019-03-05 14:27:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4079.JPG,-1.17,138.93,0.74,0.131,2019-03-05 14:23:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4078.JPG,-1.96,127.6,0.587,0.231,2019-03-05 14:23:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4087.JPG,-0.98,139.74,0.784,0.106,2019-03-05 14:27:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4085.JPG,-1.63,133.82,0.648,0.189,2019-03-05 14:26:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4084.JPG,-1.11,140.27,0.754,0.122,2019-03-05 14:26:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4080.JPG,-1.36,136.17,0.699,0.155,2019-03-05 14:24:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4081.JPG,-1.48,135.78,0.676,0.17,2019-03-05 14:24:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4083.JPG,-0.97,139.95,0.785,0.105,2019-03-05 14:25:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4068.JPG,-0.93,141.82,0.795,0.1,2019-03-05 14:18:04,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4069.JPG,-0.92,142.26,0.796,0.099,2019-03-05 14:18:34,(1 - 4),(9 - 5),(57761 - 28880)
IMG_4082.JPG,-1.07,141.59,0.763,0.118,2019-03-05 14:25:04,(1 - 4),(9 - 5),(57761 - 28880)
